NUMBER_KEY,PARCELID,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
P0351865,002098  00010,2,1,6,4,3,7,7
P0342811,D0117   00177,1,4,2,1,2,9,9
M0752814,G0242P F00009,2,16,13,8,8,8,8
BC0014843,D0117   00177,1,4,2,1,2,9,9
E0689204,002093 A00025,2,1,6,4,3,7,7
P0354228,D0222J A00002,1,11,9,6,5,1,1
M0742238,030022  00018,2,1,7,11,9,7,7
P0346698,073017  00195,2,16,11,9,7,5,5
SC005930,044113  00075,2,6,7,5,4,2,2
P0346697,073017  00195,2,16,11,9,7,5,5
E0733654,065023  00009,2,16,8,5,7,2,2
P0346696,073017  00195,2,16,11,9,7,5,5
P0347455,G0220   00522,1,17,9,6,8,1,1
P0361063,065023  00009,2,16,8,5,7,2,2
M0750957,021051  00016,1,2,7,3,9,7,7
E0723852,056041  00026,1,6,8,5,4,2,2
E0705906,060222  00225,2,10,10,10,6,10,10
P0358387,D0223D B00002,1,17,9,6,5,1,1
M0731172,A0142S A00114C,1,4,2,1,2,9,9
B1115334,033051  00014,1,6,7,11,9,2,2
M0740040,027007  00001C,1,1,6,4,3,7,7
B1114501,030019  00021,2,1,7,11,9,7,7
E0724555,096501 F00022,1,11,4,2,5,1,1
CB200064,030005  00019,2,1,7,11,9,7,7
C04777934,074037  00035,2,16,11,9,7,5,5
M0755580,,1,15,4,2,5,1,1
M0748025,096501 F00022,1,11,4,2,5,1,1
E0728560,D0134  D00067,1,2,1,7,1,4,4
M0742718,053032  00006,1,5,1,3,1,2,2
E0727790,073041 A00083,2,16,11,9,7,5,5
CZW200067,D0148  I00019,1,5,2,7,1,3,3
CE2000107,M0115H B00091,1,2,2,7,1,3,3
E0728519,077042  00072,2,10,10,10,6,10,10
CE2000093,D0255V G00013,2,16,13,8,7,8,8
C2010500,D0134W C00032,1,2,1,7,1,4,4
E0733363,060121  00030C,2,10,15,5,6,7,7
B1116239,077083 B00032C,2,10,10,10,6,10,10
B1026405,079003  00030C,2,10,10,10,6,10,10
M0667177,079003  00023,2,10,10,10,6,10,10
M0585436,079003  00023,2,10,10,10,6,10,10
M0753318,037011  00035,1,6,7,11,9,2,2
BC0015516,079003  00040,2,10,10,10,6,10,10
BC0015516,079003  00040,2,10,10,10,6,10,10
C04621818,041029  00007,1,2,7,3,9,7,7
C04696044,060052  00001,2,10,15,10,6,7,7
C04621500,041020  00055,1,2,7,3,9,7,7
B1115426,081026 A00217,2,17,9,6,7,1,1
P0334440,D0137X A00049,1,2,1,7,1,3,3
E0720683,030022  00018,2,1,7,11,9,7,7
E0733365,060121  00030C,2,10,15,5,6,7,7
E0733247,060121  00030C,2,10,15,5,6,7,7
C2010543,051006  00010,1,1,6,4,3,7,7
B1113884,044114 A00069,1,6,7,5,4,2,2
CB190215,046035  00011,2,6,8,5,4,2,2
CB190215,046035  00011,2,6,8,5,4,2,2
E0723921,058116  00012,2,16,15,5,7,2,2
E0724662,G0231Q A00101,1,17,9,6,8,1,1
M0748012,G0231Q A00101,1,17,9,6,8,1,1
B1108807,066077  00023,2,16,8,5,7,2,2
M0728736,061031  00049,2,6,15,5,9,2,2
C04770466,074098  00040,2,16,11,9,7,5,5
P0359414,056034  00041,1,6,8,5,4,2,2
E0733846,055004  00013,1,6,7,11,4,2,2
M0730013,007031  00018,2,1,6,4,3,7,7
M0700146,094400  00096,2,10,11,9,6,5,5
P0359740,023021  00002C,2,1,6,4,3,7,7
P0351045,096521 A00112,1,11,4,2,5,9,9
P0351045,096521 A00112,1,11,4,2,5,9,9
C04748220,093519 B00085,2,16,13,8,7,8,8
P0351045,096521 A00112,1,11,4,2,5,9,9
E0706410,A0142W A00015,1,4,2,1,2,9,9
M0728853,A0142W A00015,1,4,2,1,2,9,9
E0678190,016001  00001C,2,1,6,4,3,7,7
E0678141,016001  00001C,2,1,6,4,3,7,7
E0678190,016001  00001C,2,1,6,4,3,7,7
P0357718,045105  00028,2,6,7,5,9,2,2
M0757110,044030  00008,1,6,7,11,9,2,2
P0353847,007031  00018,2,1,6,4,3,7,7
M0756155,D0242C F00012,2,16,13,8,8,8,8
E20001273,078008 A00001C,2,10,11,9,6,5,5
M0735366,058155  00095,2,16,15,5,7,2,2
P0360935,088044  00037,1,5,4,3,1,1,1
E0734203,044016  00004,1,6,7,11,9,2,2
E0734202,044016  00004,1,6,7,11,9,2,2
S0108661,D0215   00710,1,11,4,2,5,1,1
M0752209,A0142S E00009,1,4,2,1,2,9,9
E0726605,020046 A00001,1,1,7,11,9,7,7
E0735266,084010  00355,1,2,1,3,1,3,3
E0702350,050111  00040C,2,10,6,10,6,7,7
E0678141,016001  00001C,2,1,6,4,3,7,7
P0355051,A0142D B00013,1,4,2,1,2,9,9
P0359827,078001  00014,2,10,10,10,6,10,10
C04758376,077001  00020,2,10,10,10,6,10,10
M0749784,058154  00036,2,16,15,5,7,2,2
C2010501,D0134  J00018,1,2,1,7,1,4,4
C2010513,078016  00010,2,10,11,9,6,5,5
C04709482,091112  00243,1,15,9,6,5,1,1
E0724558,016040  00025,2,1,7,11,9,7,7
E0719534,D0134  G00004,1,2,1,7,1,4,4
M0748028,016040  00025,2,1,7,11,9,7,7
E0723864,052082  00083,1,6,7,11,9,2,2
M0751153,059059  00055,2,6,15,5,9,2,2
E0668096,070042  00062,1,2,1,7,1,4,4
M0700146,094400  00096,2,10,11,9,6,5,5
E0734259,096500  00669,1,5,4,2,5,9,9
B1041434,055061  00023,1,6,8,11,4,2,2
P0359826,078001  00014,2,10,10,10,6,10,10
P0359825,078001  00014,2,10,10,10,6,10,10
C2010424,060032  00078,2,10,15,10,6,7,7
E0685188,,2,1,7,11,9,7,7
E0702719,G0220D C00002,1,17,9,6,8,1,1
P0359824,078001  00014,2,10,10,10,6,10,10
E0733354,093417 G00047,2,16,11,9,7,5,5
E0728775,068025  00005,1,6,8,5,4,2,2
E0735703,093200  00337C,2,17,13,8,7,5,5
M0754513,093200  00337C,2,17,13,8,7,5,5
C04808744,081068  00005,2,17,13,8,7,8,8
E0736617,D0255I G00004,2,16,13,8,7,8,8
P0352678,044029  00024,1,6,7,11,9,2,2
P0354200,044030  00013,1,6,7,11,9,2,2
E0735396,044030  00008,1,6,7,11,9,2,2
E0717547,055062  00064,1,6,8,11,4,2,2
M0739081,052082  00037,1,6,7,11,9,2,2
C04597452,084010  00116,1,2,1,3,1,3,3
M0748008,093205 V00012,2,17,13,8,7,5,5
M0754520,093200  00338,2,17,13,8,7,5,5
M0731026,078001  00014,2,10,10,10,6,10,10
M0754516,093200  00337C,2,17,13,8,7,5,5
M0731025,078001  00014,2,10,10,10,6,10,10
M0731024,078001  00014,2,10,10,10,6,10,10
M0731023,078001  00014,2,10,10,10,6,10,10
M0731022,078001  00014,2,10,10,10,6,10,10
M0754515,093200  00337C,2,17,13,8,7,5,5
M0731021,078001  00014,2,10,10,10,6,10,10
C1911212,047077  00044,2,10,15,5,7,2,2
C1911213,059019  00004,2,10,15,5,7,2,2
E20001243,045035  00001,2,6,15,5,9,2,2
E0726757,G0231U A00045,1,17,9,6,8,1,1
P0360343,093500  00504,2,16,13,8,7,5,5
P0354289,045023  00034,2,6,15,5,9,2,2
CZW201291,060193  00023,2,10,11,9,7,5,5
M0738364,033033  00005,1,6,7,11,9,2,2
C04637140,085029  00015,1,2,1,3,1,3,3
CZW164457,059034  00028,2,10,15,5,7,2,2
E0735421,062021  00034,1,5,1,3,1,2,2
BC0015368,062021  00034,1,5,1,3,1,2,2
CB200154,021088  00021,1,1,7,11,9,7,7
C04613864,038007  00018,1,6,7,11,9,2,2
M0757792,093504 A00062,2,16,13,8,7,8,8
B1081795,037011  00035,1,6,7,11,9,2,2
B1081793,037011  00035,1,6,7,11,9,2,2
C2010554,073080  00030C,2,16,11,9,7,5,5
M0746170,058023  00079,2,16,15,5,7,2,2
E0724660,093205 V00012,2,17,13,8,7,5,5
P0341401,065041  00028,2,6,8,5,4,2,2
M0755500,073017  00141,2,16,11,9,7,5,5
C1911169,013027  00005,2,10,10,10,6,7,7
C04712708,084012  00017,1,5,1,3,1,3,3
C2010456,D0116  H00036,1,2,2,7,2,3,3
M0754511,081078 A00012,2,17,13,8,7,8,8
E0696658,001012  00001C,1,1,6,4,3,7,7
C1911214,047073  00046,2,6,15,5,9,2,2
E0729564,045040  00061,2,6,7,5,9,2,2
C04747364,089014  00166,1,15,8,11,4,1,1
B1087655,060174  00140,2,10,11,9,6,5,5
P0354070,088020  00007,1,5,1,3,1,3,3
M0609067,088020  00007,1,5,1,3,1,3,3
B1099865,080008  00189,1,15,8,5,4,1,1
M0757153,040029  00012,1,2,7,3,9,7,7
M0757154,040029  00012,1,2,7,3,9,7,7
M0757152,040029  00013,1,2,7,3,9,7,7
C04695894,059011  00073,2,10,15,5,7,2,2
M0757151,040029  00013,1,2,7,3,9,7,7
P0360789,040029  00023,1,2,7,3,9,7,7
M0757155,040029  00023,1,2,7,3,9,7,7
C04714380,047046  00001,2,6,15,5,9,2,2
B1094881,001012  00001C,1,1,6,4,3,7,7
B1117549,028036  00027,2,1,7,11,9,7,7
P0346692,073017  00195,2,16,11,9,7,5,5
BC0015468,058096  00012,2,16,15,5,7,2,2
P0337740,002128  00026C,2,1,6,4,3,7,7
E0680432,G0220   00369,1,15,9,6,5,1,1
P0346691,,2,16,11,9,7,5,5
P0354137,G0220   00369,1,15,9,6,5,1,1
E0680432,G0220   00369,1,15,9,6,5,1,1
E0681542,002119  00003,2,1,6,4,3,7,7
M0731209,G0220   00369,1,15,9,6,5,1,1
E0728693,087058  00005,1,5,2,3,1,3,3
E0726736,073017  00195,2,16,11,9,7,5,5
M0755599,073017  00195,2,16,11,9,7,5,5
M0755597,073017  00195,2,16,11,9,7,5,5
B1114718,020034  00019,1,1,7,11,9,7,7
E0726753,055015  00013,1,6,7,11,4,2,2
S0108677,091025  00015,1,15,4,2,5,1,1
E0731386,021122  00005,1,1,6,4,3,7,7
C04750890,035076  00016,2,10,10,10,6,7,7
P0346693,,2,16,11,9,7,5,5
E0731386,021122  00005,1,1,6,4,3,7,7
E0708413,031122  00030,2,10,7,5,9,7,7
CZW201131,088001  00010,1,5,1,3,1,3,3
E0689561,052041  00029C,1,6,7,11,9,2,2
E0689561,052041  00029C,1,6,7,11,9,2,2
M0755598,073017  00195,2,16,11,9,7,5,5
M0753080,036045  00035,1,1,7,11,9,7,7
M0755592,036044  00012,1,1,7,11,9,7,7
M0752230,096507 A00221,1,11,4,2,5,1,1
CZW202173,038068  00027,1,6,7,11,4,2,2
C2010530,093525 A00026,2,16,13,8,7,5,5
E0726736,073017  00195,2,16,11,9,7,5,5
E0735950,052027  00036,1,6,7,11,9,2,2
C04691296,031018  00025,2,10,15,5,9,7,7
M0752212,093725 J00054,2,16,13,8,7,5,5
E0729545,093725 J00054,2,16,13,8,7,5,5
M0726872,G0243   00110,2,17,13,8,8,8,8
E0691407,080024  00029,1,15,8,5,4,1,1
E0691407,080024  00029,1,15,8,5,4,1,1
E0729550,076013  00119,2,10,10,10,6,10,10
M0752221,076013  00119,2,10,10,10,6,10,10
B1117420,G0221E B00013,1,17,9,6,8,1,1
B1112645,080024  00029,1,15,8,5,4,1,1
B1112645,080024  00029,1,15,8,5,4,1,1
P0357387,070058  00068,1,2,1,7,1,4,4
E0732235,031081  00017,2,10,15,5,9,7,7
E0735950,052027  00036,1,6,7,11,9,2,2
E0736142,047083  00018,2,10,15,5,7,2,2
P0354588,092007  00073,1,4,4,2,2,9,9
M0719713,001001 A00048,1,1,6,4,3,7,7
E0726628,093600  00380,2,16,13,8,7,5,5
C04690660,093724 C00001,2,16,13,8,7,8,8
M0700854,067075  00002,2,17,8,5,7,1,1
P0358530,081026 A00192,2,17,9,6,7,1,1
P0358530,081026 A00192,2,17,9,6,7,1,1
P0359822,078001  00014,2,10,10,10,6,10,10
M0751409,058122  00034,2,6,8,5,4,2,2
P0359823,078001  00014,2,10,10,10,6,10,10
E0735428,081026 A00192,2,17,9,6,7,1,1
E0715514,044125  00030,1,6,7,11,4,2,2
E0721803,044041 C00031,1,6,7,11,4,2,2
C04771924,,1,5,2,3,1,3,3
P0359821,078001  00014,2,10,10,10,6,10,10
C2010511,086028  00017,1,5,2,3,1,3,3
SC005727,037001  00007,1,6,7,11,9,2,2
P0359820,078001  00014,2,10,10,10,6,10,10
SC005799,069031  00006,1,2,1,7,1,4,4
SC005798,069032  00001C,1,2,1,7,1,4,4
B1115788,D0255I G00004,2,16,13,8,7,8,8
B1115788,D0255I G00004,2,16,13,8,7,8,8
M0734126,A0142   00480C,1,4,2,1,2,9,9
M0748016,081027 A00010,2,17,9,6,7,1,1
M0730019,D0222   00511,1,11,9,6,5,1,1
C2010536,D0255L D00064,2,16,13,8,7,8,8
M0742261,G0219H A00005,1,15,9,6,5,1,1
M0730019,D0222   00511,1,11,9,6,5,1,1
E0715781,D0222   00511,1,11,9,6,5,1,1
CB200216,044070  00029,1,6,7,11,4,2,2
S0108663,093417 K00016,2,16,11,9,7,5,5
P0358349,072021  00008,1,2,1,7,1,4,4
S0108767,078028  00286,2,10,11,9,6,5,5
M0754992,062057  00018,1,5,1,3,1,2,2
M0748059,L0159H H00014,1,4,4,2,2,9,9
P0356513,091036  00005,1,15,9,6,5,1,1
P0359810,078001  00014,2,10,10,10,6,10,10
P0359809,078001  00014,2,10,10,10,6,10,10
C2010510,086014  00022,1,5,2,3,1,3,3
M0756268,054019  00009,1,6,8,11,4,2,2
E0707008,045091  00001,2,6,7,11,9,2,2
S0106900,065010  00004,2,6,8,5,4,2,2
S0106899,065010  00004,2,6,8,5,4,2,2
E0702754,020043  00021,1,1,7,11,9,7,7
M0748003,D0241B A00009,2,16,13,8,7,8,8
C2010550,079032  00055,2,10,11,9,6,5,5
M0752204,D0215M C00020,1,11,9,6,5,1,1
C04777038,085024  00021,1,5,2,3,1,3,3
B1113169,079042  00033C,2,10,11,9,6,5,5
C2010092,060211  00020,2,10,11,9,7,5,5
C04652672,076034 G00037,2,10,10,10,6,10,10
E0728297,072075  00041,1,2,1,3,1,4,4
P0359564,M0115L B00034,1,2,2,7,2,3,3
SC005963,056004  00028,1,6,8,5,4,2,2
B1109608,G0221D H00010,1,17,9,6,8,1,1
S0106898,093500  00603,2,16,13,8,7,8,8
CE2000037,077024  00097,2,10,10,10,6,10,10
M0755166,074001  00143,2,16,11,9,7,5,5
B1095246,007020  00028,2,1,6,4,3,7,7
S0109097,075069  00013C,2,10,10,10,6,10,10
S0108777,075069  00013C,2,10,10,10,6,10,10
M0632713,068056  00007,1,15,8,11,4,1,1
M0744266,060222  00225,2,10,10,10,6,10,10
E0723752,G0230Q K00003,2,17,9,6,7,1,1
M0740682,D0222J A00002,1,11,9,6,5,1,1
S0106897,093500  00603,2,16,13,8,7,8,8
E0691402,092006  00023,1,5,4,2,2,9,9
B1103228,G0220   00522,1,17,9,6,8,1,1
E0691402,092006  00023,1,5,4,2,2,9,9
M0748019,G0232Y H00014,1,17,9,6,8,1,1
M0748021,L0150P A00114,1,4,2,1,2,9,9
SC005800,069036  00001,1,2,1,7,1,4,4
SC005523,050123  00024,2,10,10,10,6,10,10
M0714983,D0215   00688,1,11,4,2,5,1,1
E0718501,D0215   00688,1,11,4,2,5,1,1
C04721106,081054  00083,2,17,13,8,7,8,8
M0714983,D0215   00688,1,11,4,2,5,1,1
M0741072,D0222J A00002,1,11,9,6,5,1,1
C2010509,086008  00014,1,5,2,3,1,3,3
C2010508,085006  00030,1,2,1,3,1,3,3
CZW200903,085006  00030,1,2,1,3,1,3,3
E0689548,079003  00023,2,10,10,10,6,10,10
E0668041,095101 H00057,1,5,4,2,2,9,9
P0359769,L0150E A00019,1,4,4,1,2,9,9
M0753954,G0221D G00011,1,17,9,6,8,1,1
C2010537,079014  00002,2,10,11,9,6,5,5
M0757965,079010  00006,2,10,11,9,6,5,5
M0735996,081071  00042,2,17,13,8,7,8,8
M0747271,033033  00006,1,6,7,11,9,2,2
C2010512,086030  00006,1,5,2,3,1,3,3
E0723856,033016  00019,1,6,7,11,9,2,2
M0748060,G0232N C00046,1,17,9,6,8,8,8
P0359808,078001  00014,2,10,10,10,6,10,10
E0689548,079003  00023,2,10,10,10,6,10,10
E0695203,020076  00036C,1,1,7,11,9,7,7
M0678922,026056  00056,2,10,15,5,9,7,7
M0678921,026056  00056,2,10,15,5,9,7,7
CB200110,029016  00017,2,10,7,5,9,7,7
