NUMBER_KEY,PARCELID,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
COM-ADD-20-000003,455555,1,11,9,6,5,1,1
C1810261,D0215B A00002,1,11,9,6,5,1,1
C1810261,D0215B A00002,1,11,9,6,5,1,1
C1910290,026007 00003,2,10,6,10,6,7,7
C1910345,040001 00093,1,2,6,4,3,7,7
P0360161,D0215Q A00075,1,11,4,2,5,1,1
E0657631,L0150A E00003,1,4,4,1,2,9,9
SC005749,022034 00029,1,2,6,4,3,7,7
CZW194896,038088 00050,1,6,7,11,4,2,2
C1911167,069025 00022,1,2,1,7,1,4,4
C1911167,069025 00022,1,2,1,7,1,4,4
SC005967,031119 00004,2,10,15,5,9,7,7
C2010189,091005  00017,1,15,4,2,5,1,1
C2010189,091005  00017,1,15,4,2,5,1,1
B1117981,D0215R G00009,1,11,9,6,5,1,1
C1910483,021018 00030,1,1,6,4,3,7,7
C1910363,052025 00003,1,6,7,11,9,2,2
C1910875,065017 00030,2,6,8,5,4,2,2
C1910875,065017 00030,2,6,8,5,4,2,2
C1910304,021048 00019,1,2,6,4,3,7,7
C1910641,065006 00016,2,6,8,5,4,2,2
C1910641,065006 00016,2,6,8,5,4,2,2
CB200174,054029 00031,1,6,8,11,4,2,2
SC005850,021051 00053C,1,2,6,4,3,7,7
SC005751,040008 00010,1,2,6,4,3,7,7
M0744036,038088 00056,1,6,7,11,4,2,2
SC006108,040033 00012,1,2,7,3,9,7,7
M0756057,091003  00058,1,15,4,2,5,1,1
C2010115,020082 00012,1,1,6,4,3,7,7
C2010115,020082 00012,1,1,6,4,3,7,7
C2010420,054030 00042,1,6,8,11,4,2,2
CB200105,D0215   00710,1,11,4,2,5,1,1
P0359285,A0141C D00159,1,4,2,1,2,9,9
C1910360,042049 00038,1,5,7,3,9,2,2
CE2000037,077024 00097,2,10,10,10,6,10,10
SC006028,039007 00010,1,2,6,4,3,7,7
CZW178980,031110 00001,2,10,15,5,9,7,7
E0730931,018074 00038,2,1,6,4,3,7,7
E0730931,018074 00038,2,1,6,4,3,7,7
P0269281,D0204   00427,1,4,4,2,2,9,9
E0734522,D0204   00427,1,4,4,2,2,9,9
CB200155,021094 00001,1,1,6,4,3,7,7
SC005761,021094 00001,1,1,6,4,3,7,7
SC005761,021094 00001,1,1,6,4,3,7,7
C2010105,023006 00004,2,1,6,4,3,7,7
C2010105,023006 00004,2,1,6,4,3,7,7
C1910361,042051 00001,1,5,7,3,9,2,2
C2010227,031101 00002,2,10,15,5,9,7,7
C2010227,031101 00002,2,10,15,5,9,7,7
M0756073,D0213W A00109,1,15,4,2,5,1,1
E0734593,D0213W A00109,1,15,4,2,5,1,1
C2010350,079061 00200,2,10,10,10,6,10,10
CZW194088,A0142I C00015,1,4,2,1,2,9,9
P0321504,A0142N F00009,1,4,2,1,2,9,9
B1114224,D0223 00219,1,11,9,6,5,1,8
C1910305,021065 00008,1,2,7,3,9,7,7
C2010123,079059 00004,2,10,10,10,6,10,10
CB200154,021088 00021,1,1,7,11,9,7,7
CB200154,021088 00021,1,1,7,11,9,7,7
CB200044,021095 00008,1,1,7,11,9,7,7
C1910358,042029 00044,1,5,7,3,9,2,2
C2010455,058117 00033,2,16,15,5,7,2,2
P0360735,015001 00073,2,1,6,4,3,7,7
P0360767,015001 00073,2,1,6,4,3,7,7
CZW200192,015014 00018,2,1,6,4,3,7,7
C2010186,015010 00001,2,1,6,4,3,7,7
C2010186,015010 00001,2,1,6,4,3,7,7
C2010416,059091 00009,2,10,15,5,7,2,2
CB200181,021100 00013,1,1,7,11,9,7,7
CB200181,021100 00013,1,1,7,11,9,7,7
E0704163,021102 00016,1,1,7,11,9,7,7
