NUMBER_KEY,User_fld,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
CB200149,033031  00002,1,6,7,11,9,2,2
CB200149,033031  00002,1,6,7,11,9,2,2
CBW98434,D0134   00072,1,2,1,7,1,4,4
C1910332,060076  00035,2,10,15,10,6,7,7
CB190245,D0134  M00005,1,2,1,7,1,4,4
C1910330,060071  00015,2,10,15,10,6,7,7
C1910325,060053  00040,2,10,15,10,6,7,7
C1911178,013033  00025C,2,10,6,10,6,7,7
C1911178,013033  00025C,2,10,6,10,6,7,7
C1012285,059034  00028,2,10,15,5,7,2,2
CZW178980,031110  00001,2,10,15,5,9,7,7
CB200028,059057  00003C,2,6,15,5,9,2,2
CSW206847,063071  00020,1,6,8,11,4,2,2
CZW208864,065050  00024C,2,6,8,5,4,2,2
CZW210987,020076  00032,1,1,7,11,9,7,7
CZW4657224,063048  00006,1,6,8,11,4,2,2
CZW210997,058011  00039,2,10,15,5,7,2,2
CZW209350,080008 C00081,1,15,9,6,5,1,1
SC006168,012028  00016C,2,10,6,10,6,7,7
C04781616,075019  00017,2,10,10,10,6,10,10
C2010544,D0215X B00001,1,11,4,2,5,1,1
CB200234,G0232   00190,2,16,13,8,8,8,8
C04773148,067065  00001,2,16,8,5,7,2,2
CZW206865,055069  00033,1,6,7,11,4,2,2
CZW193610,D0214   00479,1,15,4,2,5,1,1
CP200037,031052  00010,2,10,7,5,9,7,7
SC006021,058001  00015,2,6,8,5,4,2,2
CZW193388,085002  00057,1,2,1,3,1,3,3
C1911023,088040 D00021,1,5,1,3,1,2,2
C1911023,088040 D00021,1,5,1,3,1,2,2
SC006021,058001  00015,2,6,8,5,4,2,2
SC006021,058001  00015,2,6,8,5,4,2,2
CSW0206678,052041  00022,1,6,7,11,9,2,2
C1911252,,2,10,10,10,6,7,7
C1911252,,2,10,10,10,6,7,7
C2010153,,,,,,,,
C2010153,,,,,,,,
SC005400,,2,10,11,9,6,5,5
SC005400,,2,10,11,9,6,5,5
CB190056,085016  00051,1,5,2,3,1,3,3
CB200218,068006  00060,1,6,8,11,4,2,2
C04581760,038094  00006,1,6,7,11,4,2,2
C2010157,,,,,,,,
C2010058,054017  00028,1,6,8,11,4,2,2
C04581760,038094  00006,1,6,7,11,4,2,2
C2010058,054017  00028,1,6,8,11,4,2,2
C2010157,,,,,,,,
C2010590,D0134  E00048,1,2,1,7,1,4,4
CB190037,D0134  D00072,1,2,1,7,1,4,4
C2010587,020076  00075,1,1,7,11,9,7,7
CZW0209957,D0242J E00007,2,16,13,8,8,8,8
